Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_02_FMS_Smart_Multiplen user login,Chrome 115.0.0.0,,,2023-08-09 21:32:55,2023-08-09 21:35:28,2m - 32.880s,FAILED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-09 21:32:57,2023-08-09 21:33:30,33.108s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-09 21:32:58,2023-08-09 21:33:13,15.034s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 21:33:13,2023-08-09 21:33:13,0.208s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-09 21:33:13,2023-08-09 21:33:17,4.059s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-09 21:33:17,2023-08-09 21:33:18,0.546s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-09 21:33:18,2023-08-09 21:33:18,0.853s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-09 21:33:18,2023-08-09 21:33:19,0.500s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-09 21:33:19,2023-08-09 21:33:20,0.853s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-09 21:33:20,2023-08-09 21:33:20,0.478s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-09 21:33:20,2023-08-09 21:33:27,7.019s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-09 21:33:27,2023-08-09 21:33:28,0.496s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-09 21:33:28,2023-08-09 21:33:28,0.774s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-09 21:33:28,2023-08-09 21:33:30,1.169s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-09 21:33:30,2023-08-09 21:33:52,22.710s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-09 21:33:30,2023-08-09 21:33:36,6.625s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 21:33:36,2023-08-09 21:33:36,0.123s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-09 21:33:36,2023-08-09 21:33:40,4.008s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-09 21:33:40,2023-08-09 21:33:41,0.474s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-09 21:33:41,2023-08-09 21:33:42,0.819s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-09 21:33:42,2023-08-09 21:33:42,0.455s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-09 21:33:42,2023-08-09 21:33:43,0.865s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-09 21:33:43,2023-08-09 21:33:44,0.462s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-09 21:33:44,2023-08-09 21:33:51,7.018s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-09 21:33:51,2023-08-09 21:33:51,0.467s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-09 21:33:51,2023-08-09 21:33:52,0.678s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-09 21:33:52,2023-08-09 21:33:52,0.680s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-09 21:33:52,2023-08-09 21:35:28,1m - 35.846s,FAILED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-09 21:33:52,2023-08-09 21:34:49,56.503s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 21:34:49,2023-08-09 21:34:49,0.129s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-09 21:34:49,2023-08-09 21:34:53,4.012s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-09 21:34:53,2023-08-09 21:35:28,35.157s,FAILED
