Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_02_FMS_Smart_Multiplen user login,Chrome 115.0.0.0,,,2023-08-10 22:07:20,2023-08-10 22:11:45,4m - 24.953s,FAILED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-10 22:07:20,2023-08-10 22:07:58,38.033s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-10 22:07:21,2023-08-10 22:07:33,12.040s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 22:07:33,2023-08-10 22:07:33,0.170s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-10 22:07:33,2023-08-10 22:07:37,4.048s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-10 22:07:37,2023-08-10 22:07:38,0.573s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-10 22:07:38,2023-08-10 22:07:39,0.864s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-10 22:07:39,2023-08-10 22:07:39,0.476s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-10 22:07:39,2023-08-10 22:07:40,0.841s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-10 22:07:40,2023-08-10 22:07:41,0.460s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-10 22:07:41,2023-08-10 22:07:48,7.015s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-10 22:07:48,2023-08-10 22:07:56,8.838s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-10 22:07:56,2023-08-10 22:07:58,1.195s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-10 22:07:58,2023-08-10 22:07:58,0.790s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-10 22:07:59,2023-08-10 22:10:51,2m - 52.037s,FAILED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-10 22:07:59,2023-08-10 22:10:11,2m - 12.668s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 22:10:11,2023-08-10 22:10:11,0.148s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-10 22:10:11,2023-08-10 22:10:15,4.006s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-10 22:10:15,2023-08-10 22:10:51,35.179s,FAILED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-10 22:10:51,2023-08-10 22:11:45,53.988s,FAILED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-10 22:10:51,2023-08-10 22:11:02,11.598s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 22:11:02,2023-08-10 22:11:02,0.141s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-10 22:11:02,2023-08-10 22:11:06,4.016s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-10 22:11:06,2023-08-10 22:11:07,0.503s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-10 22:11:07,2023-08-10 22:11:08,0.835s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-10 22:11:08,2023-08-10 22:11:08,0.490s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-10 22:11:08,2023-08-10 22:11:09,0.823s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-10 22:11:09,2023-08-10 22:11:10,0.493s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-10 22:11:10,2023-08-10 22:11:17,7.007s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-10 22:11:17,2023-08-10 22:11:45,28.032s,FAILED
