Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_004_VC_Smart_DETAILED_REGRESSION,Chrome 115.0.0.0,,,2023-08-16 14:38:31,2023-08-16 14:46:51,8m - 20.513s,FAILED
,,,,,,,
Test Cases/TC_015_VC_Smart_Verify scroll down on home screen,Chrome 115.0.0.0,,,2023-08-16 14:38:31,2023-08-16 14:39:43,1m - 12.024s,PASSED
"callTestCase(findTestCase(""TC_001_Verify the Login feature with valid credentials""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 14:38:32,2023-08-16 14:39:07,35.428s,PASSED
"scrollToElement(findTestObject(""OB_011_VC_Smart_Scroll down/Page_VCSmart  Trimble/div_On Trip Safety Violation (830 Vehicles)""), 5)",Chrome 115.0.0.0,,,2023-08-16 14:39:07,2023-08-16 14:39:39,31.578s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-16 14:39:39,2023-08-16 14:39:43,4.009s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-16 14:39:43,2023-08-16 14:39:43,0.610s,PASSED
,,,,,,,
Test Cases/TC_016_VC_Smart_Verify_Admin feature,Chrome 115.0.0.0,,,2023-08-16 14:39:43,2023-08-16 14:40:38,55.073s,FAILED
"callTestCase(findTestCase(""TC_001_Verify the Login feature with valid credentials""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 14:39:43,2023-08-16 14:40:38,54.934s,FAILED
,,,,,,,
Test Cases/TC_017_VC_Smart_REPORT feature,Chrome 115.0.0.0,,,2023-08-16 14:40:38,2023-08-16 14:46:05,5m - 26.699s,PASSED
"callTestCase(findTestCase(""TC_001_Verify the Login feature with valid credentials""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 14:40:39,2023-08-16 14:41:34,55.602s,PASSED
"click(findTestObject(""OB_013_VC_Smart_REPORT Feature/Page_VCSmart  Trimble/a_Reports""))",Chrome 115.0.0.0,,,2023-08-16 14:41:34,2023-08-16 14:42:04,30.274s,PASSED
"click(findTestObject(""OB_013_VC_Smart_REPORT Feature/Page_VCSmart  Trimble/div_Safety Index Report""))",Chrome 115.0.0.0,,,2023-08-16 14:42:04,2023-08-16 14:42:05,0.613s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-16 14:42:05,2023-08-16 14:42:09,4.018s,PASSED
"click(findTestObject(""OB_013_VC_Smart_REPORT Feature/Page_VCSmart  Trimble/button_Submit""))",Chrome 115.0.0.0,,,2023-08-16 14:42:09,2023-08-16 14:42:41,31.523s,PASSED
delay(11),Chrome 115.0.0.0,,,2023-08-16 14:42:41,2023-08-16 14:42:52,11.013s,PASSED
"click(findTestObject(""OB_013_VC_Smart_REPORT Feature/Page_VCSmart  Trimble/a_Reports""))",Chrome 115.0.0.0,,,2023-08-16 14:42:52,2023-08-16 14:42:52,0.466s,PASSED
