Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_02_FMS_Smart_Multiplen user login,Chrome 115.0.0.0,,,2023-08-06 16:25:12,2023-08-06 16:26:21,1m - 8.938s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-06 16:25:13,2023-08-06 16:25:38,24.903s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-06 16:25:13,2023-08-06 16:25:21,7.449s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-06 16:25:21,2023-08-06 16:25:21,0.188s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-06 16:25:21,2023-08-06 16:25:25,4.062s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-06 16:25:25,2023-08-06 16:25:26,0.612s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-06 16:25:26,2023-08-06 16:25:27,0.914s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-06 16:25:27,2023-08-06 16:25:27,0.491s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-06 16:25:27,2023-08-06 16:25:28,0.877s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-06 16:25:28,2023-08-06 16:25:29,0.507s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-06 16:25:29,2023-08-06 16:25:36,7.009s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-06 16:25:36,2023-08-06 16:25:36,0.564s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-06 16:25:36,2023-08-06 16:25:37,0.850s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-06 16:25:37,2023-08-06 16:25:38,0.757s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-06 16:25:38,2023-08-06 16:26:00,21.898s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-06 16:25:38,2023-08-06 16:25:43,5.366s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-06 16:25:43,2023-08-06 16:25:43,0.143s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-06 16:25:43,2023-08-06 16:25:47,4.013s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-06 16:25:47,2023-08-06 16:25:48,0.504s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-06 16:25:48,2023-08-06 16:25:49,0.845s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-06 16:25:49,2023-08-06 16:25:49,0.489s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-06 16:25:49,2023-08-06 16:25:50,0.877s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-06 16:25:50,2023-08-06 16:25:51,0.483s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-06 16:25:51,2023-08-06 16:25:58,7.009s,PASSED
