Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_02_FMS_Smart_Multiplen user login,Chrome 115.0.0.0,,,2023-08-09 09:01:40,2023-08-09 09:02:57,1m - 17.636s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-09 09:01:41,2023-08-09 09:02:12,31.565s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-09 09:01:41,2023-08-09 09:01:55,13.707s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 09:01:55,2023-08-09 09:01:55,0.172s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-09 09:01:55,2023-08-09 09:01:59,4.056s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-09 09:01:59,2023-08-09 09:02:00,0.655s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-09 09:02:00,2023-08-09 09:02:01,0.937s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-09 09:02:01,2023-08-09 09:02:01,0.553s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-09 09:02:01,2023-08-09 09:02:02,0.958s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-09 09:02:02,2023-08-09 09:02:03,0.627s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-09 09:02:03,2023-08-09 09:02:10,7.017s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-09 09:02:10,2023-08-09 09:02:10,0.540s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-09 09:02:10,2023-08-09 09:02:11,0.932s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-09 09:02:11,2023-08-09 09:02:12,0.686s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-09 09:02:12,2023-08-09 09:02:35,22.631s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-09 09:02:12,2023-08-09 09:02:18,6.024s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 09:02:18,2023-08-09 09:02:18,0.148s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-09 09:02:18,2023-08-09 09:02:22,4.016s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-09 09:02:22,2023-08-09 09:02:23,0.492s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-09 09:02:23,2023-08-09 09:02:24,0.813s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-09 09:02:24,2023-08-09 09:02:24,0.482s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-09 09:02:24,2023-08-09 09:02:25,0.822s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-09 09:02:25,2023-08-09 09:02:25,0.472s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-09 09:02:25,2023-08-09 09:02:32,7.020s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-09 09:02:32,2023-08-09 09:02:33,0.590s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-09 09:02:33,2023-08-09 09:02:34,0.975s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-09 09:02:34,2023-08-09 09:02:35,0.744s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-09 09:02:35,2023-08-09 09:02:57,22.569s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-09 09:02:35,2023-08-09 09:02:41,6.074s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-09 09:02:41,2023-08-09 09:02:41,0.136s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-09 09:02:41,2023-08-09 09:02:45,4.018s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-09 09:02:45,2023-08-09 09:02:46,0.483s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-09 09:02:46,2023-08-09 09:02:46,0.817s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-09 09:02:46,2023-08-09 09:02:47,0.471s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-09 09:02:47,2023-08-09 09:02:48,0.808s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-09 09:02:48,2023-08-09 09:02:48,0.463s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-09 09:02:48,2023-08-09 09:02:55,7.015s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-09 09:02:55,2023-08-09 09:02:56,0.528s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-09 09:02:56,2023-08-09 09:02:57,1.063s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-09 09:02:57,2023-08-09 09:02:57,0.671s,PASSED
