Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_02_FMS_Smart_Multiplen user login,Chrome 115.0.0.0,,,2023-08-08 21:01:55,2023-08-08 21:03:14,1m - 18.811s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-08 21:01:56,2023-08-08 21:02:27,31.445s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-08 21:01:57,2023-08-08 21:02:11,13.669s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-08 21:02:11,2023-08-08 21:02:11,0.171s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-08 21:02:11,2023-08-08 21:02:15,4.038s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-08 21:02:15,2023-08-08 21:02:16,0.570s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-08 21:02:16,2023-08-08 21:02:17,0.821s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-08 21:02:17,2023-08-08 21:02:17,0.445s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-08 21:02:17,2023-08-08 21:02:18,0.786s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-08 21:02:18,2023-08-08 21:02:18,0.460s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-08 21:02:18,2023-08-08 21:02:25,7.008s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-08 21:02:25,2023-08-08 21:02:26,0.513s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-08 21:02:26,2023-08-08 21:02:27,0.779s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-08 21:02:27,2023-08-08 21:02:27,0.749s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-08 21:02:27,2023-08-08 21:02:50,22.162s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-08 21:02:27,2023-08-08 21:02:33,5.935s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-08 21:02:33,2023-08-08 21:02:34,0.181s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-08 21:02:34,2023-08-08 21:02:38,4.009s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-08 21:02:38,2023-08-08 21:02:38,0.465s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-08 21:02:38,2023-08-08 21:02:39,0.824s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-08 21:02:39,2023-08-08 21:02:39,0.435s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-08 21:02:39,2023-08-08 21:02:40,0.763s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-08 21:02:40,2023-08-08 21:02:41,0.448s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-08 21:02:41,2023-08-08 21:02:48,7.013s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-08 21:02:48,2023-08-08 21:02:48,0.523s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-08 21:02:48,2023-08-08 21:02:49,0.842s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-08 21:02:49,2023-08-08 21:02:50,0.695s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-08 21:02:50,2023-08-08 21:03:14,24.374s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-08 21:02:50,2023-08-08 21:02:58,8.153s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-08 21:02:58,2023-08-08 21:02:58,0.143s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-08 21:02:58,2023-08-08 21:03:02,4.015s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-08 21:03:02,2023-08-08 21:03:02,0.468s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-08 21:03:02,2023-08-08 21:03:03,0.830s,PASSED
