Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
openBrowser(url),Chrome 114.0.0.0,,,2023-07-26 15:09:56,2023-07-26 15:10:05,9.157s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-26 15:10:05,2023-07-26 15:10:05,0.132s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Username""))",Chrome 114.0.0.0,,,2023-07-26 15:10:05,2023-07-26 15:10:05,0.382s,PASSED
"setText(findTestObject(""OB_001_Login screen/Login Screen/Username""), username)",Chrome 114.0.0.0,,,2023-07-26 15:10:05,2023-07-26 15:10:06,0.805s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Password""))",Chrome 114.0.0.0,,,2023-07-26 15:10:06,2023-07-26 15:10:06,0.368s,PASSED
"setText(findTestObject(""OB_001_Login screen/Login Screen/Password""), password)",Chrome 114.0.0.0,,,2023-07-26 15:10:06,2023-07-26 15:10:07,0.865s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/button_Sign in""))",Chrome 114.0.0.0,,,2023-07-26 15:10:07,2023-07-26 15:10:08,0.358s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-26 15:10:08,2023-07-26 15:10:13,5.005s,PASSED
"verifyTextPresent(""VC Smart"", false)",Chrome 114.0.0.0,,,2023-07-26 15:10:13,2023-07-26 15:10:32,19.742s,PASSED
,,,,,,,
Test Cases/TC_003_Verify login with multiple user,Chrome 114.0.0.0,,,2023-07-26 15:10:32,2023-07-26 15:11:17,44.428s,PASSED
openBrowser(url),Chrome 114.0.0.0,,,2023-07-26 15:10:32,2023-07-26 15:10:42,9.418s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-26 15:10:42,2023-07-26 15:10:42,0.119s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Username""))",Chrome 114.0.0.0,,,2023-07-26 15:10:42,2023-07-26 15:10:42,0.385s,PASSED
"setText(findTestObject(""OB_001_Login screen/Login Screen/Username""), username)",Chrome 114.0.0.0,,,2023-07-26 15:10:42,2023-07-26 15:10:43,0.783s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Password""))",Chrome 114.0.0.0,,,2023-07-26 15:10:43,2023-07-26 15:10:44,0.365s,PASSED
"setText(findTestObject(""OB_001_Login screen/Login Screen/Password""), password)",Chrome 114.0.0.0,,,2023-07-26 15:10:44,2023-07-26 15:10:44,0.775s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/button_Sign in""))",Chrome 114.0.0.0,,,2023-07-26 15:10:44,2023-07-26 15:10:45,0.363s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-26 15:10:45,2023-07-26 15:10:50,5.004s,PASSED
"verifyTextPresent(""VC Smart"", false)",Chrome 114.0.0.0,,,2023-07-26 15:10:50,2023-07-26 15:11:17,27.214s,PASSED
,,,,,,,
Test Cases/TC_003_Verify login with multiple user,Chrome 114.0.0.0,,,2023-07-26 15:11:17,2023-07-26 15:11:48,30.939s,PASSED
openBrowser(url),Chrome 114.0.0.0,,,2023-07-26 15:11:17,2023-07-26 15:11:26,9.175s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-26 15:11:26,2023-07-26 15:11:26,0.129s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Username""))",Chrome 114.0.0.0,,,2023-07-26 15:11:26,2023-07-26 15:11:27,0.385s,PASSED
"setText(findTestObject(""OB_001_Login screen/Login Screen/Username""), username)",Chrome 114.0.0.0,,,2023-07-26 15:11:27,2023-07-26 15:11:27,0.816s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Password""))",Chrome 114.0.0.0,,,2023-07-26 15:11:27,2023-07-26 15:11:28,0.392s,PASSED
"setText(findTestObject(""OB_001_Login screen/Login Screen/Password""), password)",Chrome 114.0.0.0,,,2023-07-26 15:11:28,2023-07-26 15:11:29,0.778s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/button_Sign in""))",Chrome 114.0.0.0,,,2023-07-26 15:11:29,2023-07-26 15:11:29,0.384s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-26 15:11:29,2023-07-26 15:11:34,5.017s,PASSED
