Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_02_FMS_Smart_Multiplen user login,Chrome 115.0.0.0,,,2023-08-07 09:24:40,2023-08-07 09:26:10,1m - 30.537s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-07 09:24:40,2023-08-07 09:25:09,28.583s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-07 09:24:41,2023-08-07 09:24:51,10.521s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-07 09:24:51,2023-08-07 09:24:52,0.166s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-07 09:24:52,2023-08-07 09:24:56,4.040s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-07 09:24:56,2023-08-07 09:24:56,0.572s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-07 09:24:56,2023-08-07 09:24:57,0.829s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-07 09:24:57,2023-08-07 09:24:57,0.474s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-07 09:24:57,2023-08-07 09:24:58,0.850s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-07 09:24:58,2023-08-07 09:24:59,0.463s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-07 09:24:59,2023-08-07 09:25:06,7.017s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-07 09:25:06,2023-08-07 09:25:07,1.260s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-07 09:25:07,2023-08-07 09:25:08,1.196s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-07 09:25:08,2023-08-07 09:25:09,0.759s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-07 09:25:09,2023-08-07 09:25:34,25.255s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-07 09:25:09,2023-08-07 09:25:14,4.842s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-07 09:25:14,2023-08-07 09:25:14,0.201s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-07 09:25:14,2023-08-07 09:25:18,4.015s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-07 09:25:18,2023-08-07 09:25:19,0.467s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-07 09:25:19,2023-08-07 09:25:19,0.801s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-07 09:25:19,2023-08-07 09:25:20,0.442s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-07 09:25:20,2023-08-07 09:25:21,0.777s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-07 09:25:21,2023-08-07 09:25:21,0.448s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-07 09:25:21,2023-08-07 09:25:28,7.010s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-07 09:25:28,2023-08-07 09:25:33,4.745s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-07 09:25:33,2023-08-07 09:25:34,0.795s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-07 09:25:34,2023-08-07 09:25:34,0.682s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-07 09:25:34,2023-08-07 09:26:10,36.091s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-07 09:25:34,2023-08-07 09:25:39,5.061s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-07 09:25:39,2023-08-07 09:25:40,0.143s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-07 09:25:40,2023-08-07 09:25:44,4.009s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-07 09:25:44,2023-08-07 09:25:44,0.466s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-07 09:25:44,2023-08-07 09:25:45,0.779s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-07 09:25:45,2023-08-07 09:25:45,0.456s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-07 09:25:45,2023-08-07 09:25:46,0.768s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-07 09:25:46,2023-08-07 09:25:46,0.423s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-07 09:25:46,2023-08-07 09:25:53,7.011s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-07 09:25:53,2023-08-07 09:26:09,15.647s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-07 09:26:09,2023-08-07 09:26:10,0.626s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-07 09:26:10,2023-08-07 09:26:10,0.672s,PASSED
