Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_02_FMS_Smart_Multiplen user login,Chrome 115.0.0.0,,,2023-08-06 16:47:59,2023-08-06 16:49:14,1m - 15.560s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-06 16:47:59,2023-08-06 16:48:27,27.702s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-06 16:48:00,2023-08-06 16:48:11,10.812s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-06 16:48:11,2023-08-06 16:48:11,0.167s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-06 16:48:11,2023-08-06 16:48:15,4.051s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-06 16:48:15,2023-08-06 16:48:16,0.546s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-06 16:48:16,2023-08-06 16:48:16,0.849s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-06 16:48:16,2023-08-06 16:48:17,0.460s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-06 16:48:17,2023-08-06 16:48:18,0.815s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-06 16:48:18,2023-08-06 16:48:18,0.460s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-06 16:48:18,2023-08-06 16:48:25,7.010s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-06 16:48:25,2023-08-06 16:48:26,0.600s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-06 16:48:26,2023-08-06 16:48:26,0.722s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-06 16:48:26,2023-08-06 16:48:27,0.700s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-06 16:48:27,2023-08-06 16:48:51,23.573s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-06 16:48:27,2023-08-06 16:48:35,7.477s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-06 16:48:35,2023-08-06 16:48:35,0.126s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-06 16:48:35,2023-08-06 16:48:39,4.017s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-06 16:48:39,2023-08-06 16:48:39,0.458s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-06 16:48:39,2023-08-06 16:48:40,0.797s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-06 16:48:40,2023-08-06 16:48:41,0.441s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-06 16:48:41,2023-08-06 16:48:41,0.794s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-06 16:48:41,2023-08-06 16:48:42,0.433s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-06 16:48:42,2023-08-06 16:48:49,7.014s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-06 16:48:49,2023-08-06 16:48:49,0.489s,PASSED
